Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
F09,FAM,HSP90AA1,Unkn-14,Hot,,36.00130823,35.0610755,0.815678699,6.669425372,0.824088417,14.12654235,6.48566152,64,
F10,FAM,HSP90AA1,Unkn-22,Hot,,40.38754261,39.43671509,1.503726577,0.312439036,-0.505234711,0.899230369,0.982885542,64,
F11,FAM,HSP90AA1,Unkn-22,Hot,,37.70307285,39.43671509,1.503726577,2.033946983,0.308339628,0.899230369,0.982885542,64,
F12,FAM,HSP90AA1,Unkn-22,Hot,,40.2195298,39.43671509,1.503726577,0.351305087,-0.454315562,0.899230369,0.982885542,64,
G01,FAM,HSP90AA1,Std-07,,,35.21297299,35.23841441,0.038926341,10,1,10,0,64,
G02,FAM,HSP90AA1,Std-07,,,35.28322579,35.23841441,0.038926341,10,1,10,0,64,
G03,FAM,HSP90AA1,Std-07,,,35.21904447,35.23841441,0.038926341,10,1,10,0,64,
G04,FAM,HSP90AA1,Unkn-07,Hot,,31.47118726,31.73251306,0.262685137,157.4051114,2.197018831,132.6374148,24.1785998,64,
G05,FAM,HSP90AA1,Unkn-07,Hot,,31.72981515,31.73251306,0.262685137,131.41267,2.118637239,132.6374148,24.1785998,64,
G06,FAM,HSP90AA1,Unkn-07,Hot,,31.99653676,31.73251306,0.262685137,109.094463,2.037802709,132.6374148,24.1785998,64,
G07,FAM,HSP90AA1,Unkn-15,Cool,,30.31941795,30.90073591,0.510919857,351.6269568,2.546082162,245.0074583,93.06611373,64,
G08,FAM,HSP90AA1,Unkn-15,Cool,,31.27852224,30.90073591,0.510919857,180.0566858,2.255409252,245.0074583,93.06611373,64,
G09,FAM,HSP90AA1,Unkn-15,Cool,,31.10426754,30.90073591,0.510919857,203.3387322,2.308220112,245.0074583,93.06611373,64,
G10,FAM,HSP90AA1,Unkn-23,Cool,,35.42317866,35.95340228,0.67531671,9.983905107,0.999300445,7.37930117,3.028032484,64,
G11,FAM,HSP90AA1,Unkn-23,Cool,,36.71369066,35.95340228,0.67531671,4.056848348,0.608188773,7.37930117,3.028032484,64,
G12,FAM,HSP90AA1,Unkn-23,Cool,,35.7233375,35.95340228,0.67531671,8.097150054,0.908332188,7.37930117,3.028032484,64,
H01,FAM,HSP90AA1,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
