Plate,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,CqMin,CqMax,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,B05,FAM,IL1B,Unkn-02,40C,,35.37036749,35.33065627,0.039711223,0.134117065,35.1965392,35.46477333,0.627411901,6.652614109,5,33.26307055
1,B06,FAM,IL1B,Unkn-02,40C,,35.1811679,35.33065627,0.149488366,0.134117065,35.1965392,35.46477333,0.627411901,7.553723131,5,37.76861565
1,B07,FAM,IL1B,Unkn-10,30C,,34.83879791,35.03521018,0.196412264,0.17473401,34.86047617,35.20994419,1.005423297,9.505889621,5,47.5294481
1,B08,FAM,IL1B,Unkn-10,30C,,35.0934333,35.03521018,0.058223122,0.17473401,34.86047617,35.20994419,1.005423297,8.012049162,5,40.06024581
1,B09,FAM,IL1B,Unkn-10,30C,,35.17339932,35.03521018,0.138189142,0.17473401,34.86047617,35.20994419,1.005423297,7.593225625,5,37.96612813
1,B11,FAM,IL1B,Unkn-18,40C,,39.40716966,38.92110366,0.486066003,2.21099648,36.71010718,41.13210014,0.400009127,0.442487212,5,2.21243606
1,B12,FAM,IL1B,Unkn-18,40C,,38.43503765,38.92110366,0.486066003,2.21099648,36.71010718,41.13210014,0.400009127,0.849894087,5,4.249470436
1,C04,FAM,IL1B,Unkn-03,30C,,36.1323469,35.95432672,0.178020176,0.411887047,35.54243967,36.36621377,1.351141626,3.98847313,5,19.94236565
1,C05,FAM,IL1B,Unkn-03,30C,,35.48337089,35.95432672,0.470955833,0.411887047,35.54243967,36.36621377,1.351141626,6.166541515,5,30.83270758
1,C06,FAM,IL1B,Unkn-03,30C,,36.24726238,35.95432672,0.292935658,0.411887047,35.54243967,36.36621377,1.351141626,3.692312512,5,18.46156256
1,C07,FAM,IL1B,Unkn-11,40C,,35.92097693,35.97391411,0.052937178,0.443651264,35.53026285,36.41756537,1.719156621,4.596635455,5,22.98317728
1,C08,FAM,IL1B,Unkn-11,40C,,36.02685129,35.97391411,0.052937178,0.443651264,35.53026285,36.41756537,1.719156621,4.281225929,5,21.40612964
1,C10,FAM,IL1B,Unkn-19,30C,,34.2654641,34.20697871,0.058485395,0.460079692,33.74689901,34.6670584,3.507457254,13.96919048,5,69.84595241
1,C11,FAM,IL1B,Unkn-19,30C,,34.14849331,34.20697871,0.058485395,0.460079692,33.74689901,34.6670584,3.507457254,15.11049758,5,75.55248788
1,D04,FAM,IL1B,Unkn-04,40C,,35.56599027,35.4760914,0.08989887,0.152889561,35.32320184,35.62898096,0.656093471,5.833788291,5,29.16894145
1,D05,FAM,IL1B,Unkn-04,40C,,35.29955981,35.4760914,0.176531587,0.152889561,35.32320184,35.62898096,0.656093471,6.976524957,5,34.88262478
1,D06,FAM,IL1B,Unkn-04,40C,,35.56272412,35.4760914,0.086632717,0.152889561,35.32320184,35.62898096,0.656093471,5.846595425,5,29.23297713
1,D07,FAM,IL1B,Unkn-12,30C,,31.35299119,31.32016731,0.032823879,0.059365378,31.26080193,31.37953269,4.06989088,98.72327416,5,493.6163708
1,D08,FAM,IL1B,Unkn-12,30C,,31.35587248,31.32016731,0.035705168,0.059365378,31.26080193,31.37953269,4.06989088,98.53247567,5,492.6623784
1,D09,FAM,IL1B,Unkn-12,30C,,31.25163827,31.32016731,0.068529047,0.059365378,31.26080193,31.37953269,4.06989088,105.6751958,5,528.3759792
1,D10,FAM,IL1B,Unkn-20,40C,,35.72474525,35.62204202,0.10270323,0.09228191,35.52976011,35.71432393,0.344060361,5.24395894,5,26.2197947
1,D11,FAM,IL1B,Unkn-20,40C,,35.59528686,35.62204202,0.026755153,0.09228191,35.52976011,35.71432393,0.344060361,5.720158558,5,28.60079279
1,D12,FAM,IL1B,Unkn-20,40C,,35.54609394,35.62204202,0.075948076,0.09228191,35.52976011,35.71432393,0.344060361,5.912242476,5,29.56121238
1,E04,FAM,IL1B,Unkn-05,30C,,33.39180796,33.50905825,0.117250293,0.204284035,33.30477422,33.71334229,3.067473376,25.11428014,5,125.5714007
1,E05,FAM,IL1B,Unkn-05,30C,,33.39042302,33.50905825,0.118635236,0.204284035,33.30477422,33.71334229,3.067473376,25.13764391,5,125.6882196
1,E06,FAM,IL1B,Unkn-05,30C,,33.74494378,33.50905825,0.23588553,0.204284035,33.30477422,33.71334229,3.067473376,19.81298082,5,99.06490408
1,E08,FAM,IL1B,Unkn-13,40C,,35.95145855,35.59308386,0.358374697,0.774131446,34.81895241,36.3672153,4.180734115,4.503518207,5,22.51759104
1,E09,FAM,IL1B,Unkn-13,40C,,35.23470916,35.59308386,0.358374697,0.774131446,34.81895241,36.3672153,4.180734115,7.287003212,5,36.43501606
1,E10,FAM,IL1B,Unkn-21,30C,,36.38904518,36.25036068,0.138684503,0.204928294,36.04543238,36.45528897,0.527850958,3.357035918,5,16.78517959
