Plate,Well,BirdID,Sex,PairID,Treatment,NormCopyNumber,Target
1,B09,B372,M,L10,30_deg,,HSP90AA1
1,B10,B275,M,H8,40_deg,0.104782005,HSP90AA1
1,B11,B275,M,H8,40_deg,,HSP90AA1
1,B12,B275,M,H8,40_deg,0.086656545,HSP90AA1
1,C04,B371,M,L8,30_deg,0.042131817,HSP90AA1
1,C05,B371,M,L8,30_deg,0.036909841,HSP90AA1
1,C06,B371,M,L8,30_deg,,HSP90AA1
1,C07,B390,M,H16,40_deg,,HSP90AA1
1,C08,B390,M,H16,40_deg,0.341345895,HSP90AA1
1,C09,B390,M,H16,40_deg,0.284407314,HSP90AA1
1,C10,B403,F,L16,30_deg,0.431747409,HSP90AA1
1,C11,B403,F,L16,30_deg,0.444366949,HSP90AA1
1,C12,B403,F,L16,30_deg,0.502665896,HSP90AA1
1,D04,B191,F,H8,40_deg,,HSP90AA1
1,D05,B191,F,H8,40_deg,0.041965013,HSP90AA1
1,D06,B191,F,H8,40_deg,0.051540157,HSP90AA1
1,D07,B239,F,L12,30_deg,1.681280108,HSP90AA1
1,D08,B239,F,L12,30_deg,1.689919811,HSP90AA1
1,D09,B239,F,L12,30_deg,1.433608792,HSP90AA1
1,D10,B365,M,H6,40_deg,0.044565385,HSP90AA1
1,D11,B365,M,H6,40_deg,,HSP90AA1
1,D12,B365,M,H6,40_deg,0.030228086,HSP90AA1
1,E04,B176,M,L14,30_deg,0.185809058,HSP90AA1
1,E05,B176,M,L14,30_deg,0.18457352,HSP90AA1
1,E06,B176,M,L14,30_deg,,HSP90AA1
1,E07,B248,M,H12,40_deg,0.19232446,HSP90AA1
1,E08,B248,M,H12,40_deg,0.156569947,HSP90AA1
1,E09,B248,M,H12,40_deg,0.30827038,HSP90AA1
1,E10,B209,M,L6,30_deg,,HSP90AA1
1,E11,B209,M,L6,30_deg,0.103029277,HSP90AA1
1,E12,B209,M,L6,30_deg,0.089199559,HSP90AA1
1,F04,B195,F,H4,40_deg,0.046674562,HSP90AA1
1,F05,B195,F,H4,40_deg,0.042448716,HSP90AA1
1,F06,B195,F,H4,40_deg,,HSP90AA1
1,F07,B368,M,L4,30_deg,,HSP90AA1
1,F08,B368,M,L4,30_deg,0.218131601,HSP90AA1
1,F09,B368,M,L4,30_deg,0.224747493,HSP90AA1
1,F10,B336,F,H10,40_deg,0.239223196,HSP90AA1
1,F11,B336,F,H10,40_deg,,HSP90AA1
1,F12,B336,F,H10,40_deg,0.210761308,HSP90AA1
1,G04,B388,F,L14,30_deg,,HSP90AA1
1,G05,B388,F,L14,30_deg,0.189780518,HSP90AA1
1,G06,B388,F,L14,30_deg,0.178498265,HSP90AA1
1,G07,B234,F,H16,40_deg,,HSP90AA1
1,G08,B234,F,H16,40_deg,,HSP90AA1
1,G09,B234,F,H16,40_deg,,HSP90AA1
1,G10,B367,F,L2,30_deg,,HSP90AA1
1,G11,B367,F,L2,30_deg,0.210615928,HSP90AA1
1,G12,B367,F,L2,30_deg,,HSP90AA1
1,H04,B302,F,H12,40_deg,0.202024529,HSP90AA1
1,H05,B302,F,H12,40_deg,0.213530006,HSP90AA1
1,H06,B302,F,H12,40_deg,0.188853462,HSP90AA1
1,H07,B369,F,L4,30_deg,0.071558326,HSP90AA1
1,H08,B369,F,L4,30_deg,,HSP90AA1
1,H09,B369,F,L4,30_deg,0.066277839,HSP90AA1
1,H10,B362,M,H2,40_deg,0.320815165,HSP90AA1
1,H11,B362,M,H2,40_deg,0.223530429,HSP90AA1
1,H12,B362,M,H2,40_deg,,HSP90AA1
2,A04,B361,F,H2,40_deg,0.091156683,HSP90AA1
