Plate,Well,Fluor,Target,Content,Sample,BirdID,Sex,DateOfSampling,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,CqMin,CqMax,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,G05,FAM,HSP90AA1,Unkn-07,Hot,18945,M,12/30/2017,31.72981515,31.73251306,0.002697905,0.262685137,31.46982792,31.99519819,24.1785998,131.41267,5,657.0633499
1,G06,FAM,HSP90AA1,Unkn-07,Hot,18945,M,12/30/2017,31.99653676,31.73251306,0.264023698,0.262685137,31.46982792,31.99519819,24.1785998,109.094463,5,545.4723148
1,G08,FAM,HSP90AA1,Unkn-15,Cool,24511,M,1/16/2018,31.27852224,31.19139489,0.087127352,0.510919857,30.68047503,31.70231475,93.06611373,180.0566858,5,900.2834288
1,G09,FAM,HSP90AA1,Unkn-15,Cool,24511,M,1/16/2018,31.10426754,31.19139489,0.087127352,0.510919857,30.68047503,31.70231475,93.06611373,203.3387322,5,1016.693661
1,G10,FAM,HSP90AA1,Unkn-23,Cool,23680,M,1/3/2018,35.42317866,35.57325808,0.150079423,0.67531671,34.89794137,36.24857479,3.028032484,9.983905107,5,49.91952554
1,G12,FAM,HSP90AA1,Unkn-23,Cool,23680,M,1/3/2018,35.7233375,35.57325808,0.150079423,0.67531671,34.89794137,36.24857479,3.028032484,8.097150054,5,40.48575027
1,H04,FAM,HSP90AA1,Unkn-08,Cool,24512,M,1/16/2018,28.84684113,29.12203204,0.275190911,0.725268846,28.39676319,29.84730089,311.1210027,982.5885105,5,4912.942553
1,H05,FAM,HSP90AA1,Unkn-08,Cool,24512,M,1/16/2018,29.39722295,29.12203204,0.275190911,0.725268846,28.39676319,29.84730089,311.1210027,669.2202663,5,3346.101331
1,H07,FAM,HSP90AA1,Unkn-16,Hot,23886,F,1/8/2018,34.05058526,34.45627937,0.405694109,0.359182759,34.09709661,34.81546213,5.259714513,26.01886105,5,130.0943053
1,H08,FAM,HSP90AA1,Unkn-16,Hot,23886,F,1/8/2018,34.73376872,34.45627937,0.277489348,0.359182759,34.09709661,34.81546213,5.259714513,16.15243063,5,80.76215314
1,H09,FAM,HSP90AA1,Unkn-16,Hot,23886,F,1/8/2018,34.58448413,34.45627937,0.128204761,0.359182759,34.09709661,34.81546213,5.259714513,17.92590641,5,89.62953203
1,H10,FAM,HSP90AA1,Unkn-24,Hot,28805,M,1/8/2018,31.05570384,31.28318545,0.227481603,0.36916564,30.91401981,31.65235109,43.30439191,210.3478936,5,1051.739468
1,H11,FAM,HSP90AA1,Unkn-24,Hot,28805,M,1/8/2018,31.08472061,31.28318545,0.198464835,0.36916564,30.91401981,31.65235109,43.30439191,206.1313943,5,1030.656972
1,H12,FAM,HSP90AA1,Unkn-24,Hot,28805,M,1/8/2018,31.70913188,31.28318545,0.425946439,0.36916564,30.91401981,31.65235109,43.30439191,133.3231776,5,666.6158881
1,A04,HEX,EEF2,Unkn-01,Cool,24281,F,1/3/2018,34.45247754,34.41799707,0.034480471,0.129816194,34.28818087,34.54781326,2.580991289,27.45596895,5,137.2798447
1,A05,HEX,EEF2,Unkn-01,Cool,24281,F,1/3/2018,34.27442169,34.41799707,0.143575374,0.129816194,34.28818087,34.54781326,2.580991289,31.06907658,5,155.3453829
1,A06,HEX,EEF2,Unkn-01,Cool,24281,F,1/3/2018,34.52709197,34.41799707,0.109094902,0.129816194,34.28818087,34.54781326,2.580991289,26.06977504,5,130.3488752
1,A07,HEX,EEF2,Unkn-09,Hot,23894,M,1/8/2018,29.25082548,29.29744607,0.046620587,0.066699253,29.23074682,29.36414532,45.03228503,1016.625004,5,5083.125018
1,A08,HEX,EEF2,Unkn-09,Hot,23894,M,1/8/2018,29.37384761,29.29744607,0.076401546,0.066699253,29.23074682,29.36414532,45.03228503,933.3924224,5,4666.962112
1,A09,HEX,EEF2,Unkn-09,Hot,23894,M,1/8/2018,29.26766511,29.29744607,0.029780959,0.066699253,29.23074682,29.36414532,45.03228503,1004.807591,5,5024.037957
1,A10,HEX,EEF2,Unkn-17,Cool,23870,M,1/4/2018,32.08929033,32.21445831,0.12516798,0.115744142,32.09871417,32.33020246,10.56542913,141.6577549,5,708.2887747
1,A11,HEX,EEF2,Unkn-17,Cool,23870,M,1/4/2018,32.31761864,32.21445831,0.103160327,0.115744142,32.09871417,32.33020246,10.56542913,120.8897428,5,604.4487139
1,A12,HEX,EEF2,Unkn-17,Cool,23870,M,1/4/2018,32.23646597,32.21445831,0.022007653,0.115744142,32.09871417,32.33020246,10.56542913,127.8970446,5,639.4852232
