Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
H09,FAM,HSP90AA1,Unkn-40,Cool,,29.49236955,29.82287429,0.354559357,604.5757183,2.781450701,488.4261999,118.8318594,64,
A01,HEX,EEF2,Std-01,,,16.69640616,16.64207224,0.181451529,10000000,7,10000000,0,64,
A02,HEX,EEF2,Std-01,,,16.43966109,16.64207224,0.181451529,10000000,7,10000000,0,64,
A03,HEX,EEF2,Std-01,,,16.79014947,16.64207224,0.181451529,10000000,7,10000000,0,64,
A04,HEX,EEF2,Unkn-25,Cool,,31.26048143,31.87183381,0.557185839,243.3494462,2.386230362,166.5395485,68.33872034,64,
A05,HEX,EEF2,Unkn-25,Cool,,32.35112526,31.87183381,0.557185839,112.4706153,2.051039071,166.5395485,68.33872034,64,
A06,HEX,EEF2,Unkn-25,Cool,,32.00389475,31.87183381,0.557185839,143.7985838,2.157754609,166.5395485,68.33872034,64,
A07,HEX,EEF2,Unkn-33,Cool,,28.92112461,28.9818333,0.053473724,1274.068789,3.105192877,1221.078621,46.6267838,64,
A08,HEX,EEF2,Unkn-33,Cool,,29.00242647,28.9818333,0.053473724,1202.835116,3.080206099,1221.078621,46.6267838,64,
A09,HEX,EEF2,Unkn-33,Cool,,29.02194882,28.9818333,0.053473724,1186.331959,3.07420623,1221.078621,46.6267838,64,
A10,HEX,EEF2,Unkn-41,Hot,,29.88124452,29.91049293,0.090776582,645.8266313,2.81011595,633.4591136,40.10281432,64,
A11,HEX,EEF2,Unkn-41,Hot,,29.83794613,29.91049293,0.090776582,665.9214294,2.823422991,633.4591136,40.10281432,64,
A12,HEX,EEF2,Unkn-41,Hot,,30.01228815,29.91049293,0.090776582,588.6292799,2.769841861,633.4591136,40.10281432,64,
B01,HEX,EEF2,Std-02,,,19.3661608,19.30831345,0.057147658,1000000,6,1000000,0,64,
B02,HEX,EEF2,Std-02,,,19.30688737,19.30831345,0.057147658,1000000,6,1000000,0,64,
B03,HEX,EEF2,Std-02,,,19.25189218,19.30831345,0.057147658,1000000,6,1000000,0,64,
B04,HEX,EEF2,Unkn-26,Cool,,27.71309495,28.28032068,0.498426669,2995.440901,3.476460756,2094.08076,786.7306085,64,
B05,HEX,EEF2,Unkn-26,Cool,,28.64831586,28.28032068,0.498426669,1545.382975,3.189036123,2094.08076,786.7306085,64,
B06,HEX,EEF2,Unkn-26,Cool,,28.47955124,28.28032068,0.498426669,1741.418404,3.24090313,2094.08076,786.7306085,64,
B07,HEX,EEF2,Unkn-34,Hot,,31.13258393,31.39352315,0.231801991,266.4020335,2.425537536,223.5240755,37.85957957,64,
B08,HEX,EEF2,Unkn-34,Hot,,31.47236712,31.39352315,0.231801991,209.4646834,2.32111081,223.5240755,37.85957957,64,
B09,HEX,EEF2,Unkn-34,Hot,,31.5756184,31.39352315,0.231801991,194.7055095,2.289378241,223.5240755,37.85957957,64,
C01,HEX,EEF2,Std-03,,,22.21841423,22.28644919,0.063272362,100000,5,100000,0,64,
C02,HEX,EEF2,Std-03,,,22.29740535,22.28644919,0.063272362,100000,5,100000,0,64,
C03,HEX,EEF2,Std-03,,,22.343528,22.28644919,0.063272362,100000,5,100000,0,64,
C04,HEX,EEF2,Unkn-27,Hot,,32.31878371,33.94019894,1.911913069,115.0743971,2.060978708,58.28297251,53.74516626,64,
C05,HEX,EEF2,Unkn-27,Hot,,33.45334303,33.94019894,1.911913069,51.55736566,1.712290719,58.28297251,53.74516626,64,
C06,HEX,EEF2,Unkn-27,Hot,,36.04847007,33.94019894,1.911913069,8.217154812,0.914721469,58.28297251,53.74516626,64,
C07,HEX,EEF2,Unkn-35,Cool,,30.34014237,30.36714421,0.346395016,466.7467526,2.669081305,467.0430618,112.036825,64,
C08,HEX,EEF2,Unkn-35,Cool,,30.72624994,30.36714421,0.346395016,355.1546853,2.550417548,467.0430618,112.036825,64,
C09,HEX,EEF2,Unkn-35,Cool,,30.03504033,30.36714421,0.346395016,579.2277476,2.762849358,467.0430618,112.036825,64,
D01,HEX,EEF2,Std-04,,,25.69195763,25.78478944,0.187949851,10000,4,10000,0,64,
D02,HEX,EEF2,Std-04,,,26.00109307,25.78478944,0.187949851,10000,4,10000,0,64,
D03,HEX,EEF2,Std-04,,,25.66131763,25.78478944,0.187949851,10000,4,10000,0,64,
D04,HEX,EEF2,Unkn-28,Cool,,32.68392665,32.97686274,0.262386946,88.87059414,1.948758084,73.08567436,14.01468171,64,
D05,HEX,EEF2,Unkn-28,Cool,,33.05633644,32.97686274,0.262386946,68.28166621,1.83430411,73.08567436,14.01468171,64,
