Plate,Well,Fluor,Target,Content,Sample,BirdID,Sex,PairID,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,H08,Cy5,HSP60,Unkn-23,30_deg,B369,F,L4,30.69075257,30.61445025,0.076302317,0.067911996,14293.68311,304683.4902,5,1523417.451
1,H09,Cy5,HSP60,Unkn-23,30_deg,B369,F,L4,30.56063044,30.61445025,0.053819806,0.067911996,14293.68311,332138.9719,5,1660694.86
1,H10,Cy5,HSP60,Unkn-24,40_deg,B362,M,H2,30.75596559,30.72768926,0.028276323,0.039536065,7848.550718,291789.5303,5,1458947.652
1,H11,Cy5,HSP60,Unkn-24,40_deg,B362,M,H2,30.74459039,30.72768926,0.016901129,0.039536065,7848.550718,293998.6856,5,1469993.428
1,H12,Cy5,HSP60,Unkn-24,40_deg,B362,M,H2,30.68251181,30.72768926,0.045177453,0.039536065,7848.550718,306352.8958,5,1531764.479
1,A04,FAM,APTX,Unkn-01,30_deg,B230,M,L12,29.70711104,29.73565646,0.028545415,0.076747722,42989.30173,891101.2614,5,4455506.307
1,A05,FAM,APTX,Unkn-01,30_deg,B230,M,L12,29.67727187,29.73565646,0.058384586,0.076747722,42989.30173,908493.0387,5,4542465.193
1,A06,FAM,APTX,Unkn-01,30_deg,B230,M,L12,29.82258646,29.73565646,0.086930001,0.076747722,42989.30173,826876.7499,5,4134383.75
1,A07,FAM,APTX,Unkn-02,40_deg,B364,F,H6,30.55850642,30.72230014,0.163793719,0.143884325,44109.87162,513342.3561,5,2566711.78
1,A08,FAM,APTX,Unkn-02,40_deg,B364,F,H6,30.78008451,30.72230014,0.057784368,0.143884325,44109.87162,444704.3155,5,2223521.577
1,A09,FAM,APTX,Unkn-02,40_deg,B364,F,H6,30.82830949,30.72230014,0.106009351,0.143884325,44109.87162,431026.9103,5,2155134.552
1,A10,FAM,APTX,Unkn-03,30_deg,B221,M,L2,30.11903702,30.17045015,0.051413131,0.162174615,67922.44824,682403.7828,5,3412018.914
1,A11,FAM,APTX,Unkn-03,30_deg,B221,M,L2,30.04021402,30.17045015,0.130236126,0.162174615,67922.44824,718152.0615,5,3590760.308
1,A12,FAM,APTX,Unkn-03,30_deg,B221,M,L2,30.35209941,30.17045015,0.181649257,0.162174615,67922.44824,586779.3655,5,2933896.828
1,B04,FAM,APTX,Unkn-04,40_deg,B193,F,H14,32.33256914,32.19140331,0.14116583,0.130172137,14870.0962,162673.3836,5,813366.9182
1,B05,FAM,APTX,Unkn-04,40_deg,B193,F,H14,32.16552992,32.19140331,0.025873391,0.130172137,14870.0962,181262.9465,5,906314.7327
1,B06,FAM,APTX,Unkn-04,40_deg,B193,F,H14,32.07611087,32.19140331,0.11529244,0.130172137,14870.0962,192072.4033,5,960362.0167
1,B07,FAM,APTX,Unkn-05,30_deg,B372,M,L10,30.18300218,30.20580367,0.022801487,0.043451739,18014.50987,654706.0273,5,3273530.136
1,B08,FAM,APTX,Unkn-05,30_deg,B372,M,L10,30.25591,30.20580367,0.050106334,0.043451739,18014.50987,624504.3207,5,3122521.603
1,B09,FAM,APTX,Unkn-05,30_deg,B372,M,L10,30.17849882,30.20580367,0.027304848,0.043451739,18014.50987,656618.7094,5,3283093.547
1,B10,FAM,APTX,Unkn-06,40_deg,B275,M,H8,30.98212569,30.87224006,0.10988563,0.10239622,27587.40728,390150.2015,5,1950751.007
1,B11,FAM,APTX,Unkn-06,40_deg,B275,M,H8,30.77949715,30.87224006,0.09274291,0.10239622,27587.40728,444873.5487,5,2224367.744
