Plate,Well,Fluor,Target,Content,Sample,BirdID,Sex,DateOfSampling,JulianDate,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,CqMin,CqMax,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,D05,FAM,APTX,Unkn-04,Hot,23616,F,1/22/2018,,34.76474918,35.01630718,0.251557999,1.146361499,33.86994568,36.16266868,24.92511992,17.96788205,5,89.83941025
1,D06,FAM,APTX,Unkn-04,Hot,23616,F,1/22/2018,,35.26786518,35.01630718,0.251557999,1.146361499,33.86994568,36.16266868,24.92511992,12.64941327,5,63.24706636
1,D07,FAM,APTX,Unkn-12,Hot,90532,F,1/8/2018,,32.45483137,32.95385503,0.499023657,0.439129778,32.51472525,33.39298481,21.29370828,90.01626561,5,450.0813281
1,D08,FAM,APTX,Unkn-12,Hot,90532,F,1/8/2018,,33.12547909,32.95385503,0.171624059,0.439129778,32.51472525,33.39298481,21.29370828,56.38171075,5,281.9085537
1,D09,FAM,APTX,Unkn-12,Hot,90532,F,1/8/2018,,33.28125463,32.95385503,0.327399598,0.439129778,32.51472525,33.39298481,21.29370828,50.575912,5,252.87956
1,D10,FAM,APTX,Unkn-20,Hot,23685,F,1/8/2018,,38.75673437,39.05478117,0.298046795,0.736993831,38.31778734,39.791775,0.355361302,1.109341725,5,5.546708627
1,D12,FAM,APTX,Unkn-20,Hot,23685,F,1/8/2018,,39.35282796,39.05478117,0.298046795,0.736993831,38.31778734,39.791775,0.355361302,0.731930579,5,3.659652895
1,E04,FAM,APTX,Unkn-05,Cool,24507,F,1/16/2018,,34.33525304,34.60860803,0.273354993,0.280512284,34.32809575,34.88912031,3.923550828,24.24483101,5,121.224155
1,E05,FAM,APTX,Unkn-05,Cool,24507,F,1/16/2018,,34.59480321,34.60860803,0.013804818,0.280512284,34.32809575,34.88912031,3.923550828,20.22947253,5,101.1473626
1,E06,FAM,APTX,Unkn-05,Cool,24507,F,1/16/2018,,34.89576784,34.60860803,0.287159811,0.280512284,34.32809575,34.88912031,3.923550828,16.3984511,5,81.99225549
